Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
994,0.207188,0.436861,122.94,118.20,1000,10,8,0.40,0.40,0,0.02,0.02,15.29,14.77,152.89,147.76
1980,0.179847,0.405185,236.28,221.27,2000,10,9,0.40,0.40,0,0.01,0.01,26.19,24.61,261.96,246.10
2977,0.164733,0.386947,402.40,377.22,3000,10,10,0.40,0.40,0,0.01,0.01,40.24,37.72,402.40,377.22
3966,0.155997,0.375671,521.73,485.54,4000,10,10,0.40,0.40,0,0.01,0.01,52.17,48.55,521.73,485.54
4955,0.149085,0.366785,666.96,618.14,5000,10,10,0.40,0.40,0,0.01,0.02,66.69,61.81,666.96,618.14
5946,0.143638,0.359534,820.71,762.76,6000,10,10,0.40,0.40,0,0.01,0.01,82.07,76.28,820.71,762.77
6943,0.139515,0.353911,879.98,817.23,7000,10,9,0.40,0.40,0,0.01,0.02,97.60,90.69,976.04,906.87
7933,0.135903,0.348919,1128.72,1039.33,8000,10,10,0.40,0.40,0,0.02,0.01,112.87,103.93,1128.72,1039.33
8933,0.132750,0.344556,1289.22,1195.17,9000,10,10,0.40,0.40,0,0.02,0.01,128.92,119.52,1289.22,1195.17
9931,0.130004,0.340674,1310.37,1210.97,10000,10,9,0.40,0.40,0,0.02,0.01,145.35,134.32,1453.54,1343.26

K-Means++
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
992,0.207082,0.440360,531.67,1736.99,1000,10,10,0.40,0.40,1,381.54,1589.71,15.01,14.73,531.67,1736.99
1980,0.179665,0.408823,1023.61,3430.64,2000,10,10,0.40,0.40,1,762.24,3182.70,26.14,24.79,1023.61,3430.64
2971,0.164821,0.390499,1544.84,5148.42,3000,10,10,0.40,0.40,1,1146.38,4776.21,39.85,37.22,1544.84,5148.42
3956,0.154900,0.378064,2042.57,6850.90,4000,10,10,0.40,0.40,1,1527.26,6371.04,51.53,47.99,2042.57,6850.90
4952,0.147986,0.369152,2509.17,8518.96,5000,10,9,0.40,0.40,1,1909.96,7961.68,66.43,61.84,2574.25,8580.04
5944,0.142496,0.361991,3099.60,10296.90,6000,10,10,0.40,0.40,1,2287.77,9548.30,81.18,74.86,3099.61,10296.90
6935,0.137387,0.355211,3641.43,12033.73,7000,10,10,0.40,0.40,1,2672.41,11142.26,96.90,89.15,3641.44,12033.73
